Timestamp,Do you think the homeless issue in downtown Denver is being handled appropriately?,Do you think the LGBT Community is treated fairly in America?,Do you think POC are treated fairly in America?,How satisfied are you with the way UCCS has handled COVID?,How satisfied are you with UCCS preparedness for remote teaching?
2021/04/25 5:50:52 PM CDT,5,6,4,8,6
2021/04/25 11:41:12 PM CDT,4,7,7,7,4
2021/04/26 11:01:34 PM CDT,8,8,8,5,1
2021/04/27 8:51:57 AM CDT,5,7,5,10,6
2021/04/27 9:50:59 PM CDT,3,5,5,8,7
2021/04/28 2:52:44 PM CDT,4,8,8,5,6
2021/04/29 6:26:26 PM CDT,3,4,4,8,5
2021/04/29 7:33:58 PM CDT,6,5,3,7,4
2021/04/29 10:56:34 PM CDT,5,6,9,10,3
2021/05/01 2:00:48 AM CDT,4,7,8,4,8
2021/05/01 2:46:31 AM CDT,6,7,8,3,5
2021/05/01 11:57:02 PM CDT,6,7,8,5,8
